Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1995-11-19,1995,Final,14,LAL,109.0,Los Angeles Lakers,13,LAC,88,LA Clippers
1995-11-20,1995,Final,25,POR,113.0,Portland Trail Blazers,13,LAC,94,LA Clippers
1995-11-21,1995,Final,14,LAL,108.0,Los Angeles Lakers,25,POR,109,Portland Trail Blazers
1995-11-22,1995,Final,6,CLE,84.0,Cleveland Cavaliers,20,NYK,94,New York Knicks
1995-11-22,1995,Final,13,LAC,125.0,LA Clippers,3,BKN,92,Brooklyn Nets
1995-11-24,1995,Final,25,POR,99.0,Portland Trail Blazers,3,BKN,87,Brooklyn Nets
1995-11-25,1995,Final,20,NYK,103.0,New York Knicks,11,HOU,88,Houston Rockets
1995-11-26,1995,Final,26,SAC,99.0,Sacramento Kings,3,BKN,92,Brooklyn Nets
1995-11-27,1995,Final,24,PHX,105.0,Phoenix Suns,29,UTA,114,Utah Jazz
1995-11-28,1995,Final,20,NYK,97.0,New York Knicks,1,ATL,102,Atlanta Hawks
1995-12-02,1995,Final,9,DET,104.0,Detroit Pistons,1,ATL,96,Atlanta Hawks
1996-02-14,1995,Final,14,LAL,87.0,Los Angeles Lakers,1,ATL,86,Atlanta Hawks
1996-02-15,1995,Final,29,UTA,106.0,Utah Jazz,7,DAL,103,Dallas Mavericks
1996-02-16,1995,Final,30,WAS,94.0,Washington Wizards,12,IND,95,Indiana Pacers
1996-02-17,1995,Final,3,BKN,82.0,Brooklyn Nets,20,NYK,77,New York Knicks
1996-02-18,1995,Final,18,MIN,96.0,Minnesota Timberwolves,30,WAS,108,Washington Wizards
1996-02-19,1995,Final,21,OKC,102.0,Oklahoma City Thunder,1,ATL,94,Atlanta Hawks
1996-02-20,1995,Final,20,NYK,87.0,New York Knicks,17,MIL,92,Milwaukee Bucks
1996-02-21,1995,Final,4,CHA,96.0,Charlotte Hornets,30,WAS,92,Washington Wizards
1996-11-01,1996,Final,23,PHI,103.0,Philadelphia 76ers,17,MIL,111,Milwaukee Bucks
1996-11-01,1996,Final,14,LAL,96.0,Los Angeles Lakers,24,PHX,82,Phoenix Suns
1996-11-02,1996,Final,12,IND,95.0,Indiana Pacers,16,MIA,97,Miami Heat
1996-11-05,1996,Final,5,CHI,96.0,Chicago Bulls,15,MEM,73,Memphis Grizzlies
1996-11-06,1996,Final,2,BOS,94.0,Boston Celtics,12,IND,84,Indiana Pacers
1996-11-07,1996,Final,25,POR,95.0,Portland Trail Blazers,18,MIN,94,Minnesota Timberwolves
1996-11-08,1996,Final,30,WAS,87.0,Washington Wizards,4,CHA,102,Charlotte Hornets
1997-01-26,1996,Final,20,NYK,95.0,New York Knicks,16,MIA,89,Miami Heat
